Acorn,Acorn_grouped,DateTime,nb_clients,Conso_moy,Date
ACORN-N,Adversity,2012-06-30 22:00:00,100,0.19033,2012-06-30
ACORN-N,Adversity,2012-06-30 22:30:00,100,0.18779,2012-06-30
ACORN-N,Adversity,2012-06-30 23:00:00,100,0.1573,2012-06-30
ACORN-N,Adversity,2012-06-30 23:30:00,100,0.14175,2012-06-30
ACORN-N,Adversity,2012-07-01 00:00:00,100,0.12878,2012-07-01
ACORN-N,Adversity,2012-07-01 00:30:00,100,0.11635,2012-07-01
ACORN-N,Adversity,2012-07-01 01:00:00,100,0.11189,2012-07-01
ACORN-N,Adversity,2012-07-01 01:30:00,100,0.10759,2012-07-01
ACORN-N,Adversity,2012-07-01 02:00:00,100,0.09816,2012-07-01
ACORN-N,Adversity,2012-07-01 02:30:00,100,0.09689,2012-07-01
ACORN-N,Adversity,2012-07-01 03:00:00,100,0.09149,2012-07-01
ACORN-N,Adversity,2012-07-01 03:30:00,100,0.09012,2012-07-01
ACORN-N,Adversity,2012-07-01 04:00:00,100,0.09106,2012-07-01
ACORN-N,Adversity,2012-07-01 04:30:00,100,0.08965,2012-07-01
ACORN-N,Adversity,2012-07-01 05:00:00,100,0.10318,2012-07-01
ACORN-N,Adversity,2012-07-01 05:30:00,100,0.10553,2012-07-01
ACORN-N,Adversity,2012-07-01 06:00:00,100,0.11184,2012-07-01
ACORN-N,Adversity,2012-07-01 06:30:00,100,0.1252,2012-07-01
ACORN-N,Adversity,2012-07-01 07:00:00,100,0.15263,2012-07-01
ACORN-N,Adversity,2012-07-01 07:30:00,100,0.19629,2012-07-01
ACORN-N,Adversity,2012-07-01 08:00:00,100,0.23478,2012-07-01
ACORN-N,Adversity,2012-07-01 08:30:00,100,0.22214,2012-07-01
ACORN-N,Adversity,2012-07-01 09:00:00,100,0.23483,2012-07-01
ACORN-N,Adversity,2012-07-01 09:30:00,100,0.21568,2012-07-01
ACORN-N,Adversity,2012-07-01 10:00:00,100,0.21395,2012-07-01
ACORN-N,Adversity,2012-07-01 10:30:00,100,0.198999998,2012-07-01
ACORN-N,Adversity,2012-07-01 11:00:00,100,0.199009999,2012-07-01
ACORN-N,Adversity,2012-07-01 11:30:00,100,0.216120001,2012-07-01
ACORN-N,Adversity,2012-07-01 12:00:00,100,0.223880001,2012-07-01
ACORN-N,Adversity,2012-07-01 12:30:00,100,0.21501,2012-07-01
ACORN-N,Adversity,2012-07-01 13:00:00,100,0.226770001,2012-07-01
ACORN-N,Adversity,2012-07-01 13:30:00,100,0.261740001,2012-07-01
ACORN-N,Adversity,2012-07-01 14:00:00,100,0.209510001,2012-07-01
ACORN-N,Adversity,2012-07-01 14:30:00,100,0.23816,2012-07-01
ACORN-N,Adversity,2012-07-01 15:00:00,100,0.21025,2012-07-01
ACORN-N,Adversity,2012-07-01 15:30:00,100,0.225040001,2012-07-01
ACORN-N,Adversity,2012-07-01 16:00:00,100,0.21504,2012-07-01
ACORN-N,Adversity,2012-07-01 16:30:00,100,0.23735,2012-07-01
ACORN-N,Adversity,2012-07-01 17:00:00,100,0.23397,2012-07-01
ACORN-N,Adversity,2012-07-01 17:30:00,100,0.24207,2012-07-01
ACORN-N,Adversity,2012-07-01 18:00:00,100,0.23493,2012-07-01
ACORN-N,Adversity,2012-07-01 18:30:00,100,0.262759998,2012-07-01
ACORN-N,Adversity,2012-07-01 19:00:00,100,0.236320002,2012-07-01
ACORN-N,Adversity,2012-07-01 19:30:00,100,0.20738,2012-07-01
ACORN-N,Adversity,2012-07-01 20:00:00,100,0.220419999,2012-07-01
ACORN-N,Adversity,2012-07-01 20:30:00,100,0.20505,2012-07-01
ACORN-N,Adversity,2012-07-01 21:00:00,100,0.22548,2012-07-01
ACORN-N,Adversity,2012-07-01 21:30:00,100,0.2288,2012-07-01
ACORN-N,Adversity,2012-07-01 22:00:00,100,0.20918,2012-07-01
ACORN-N,Adversity,2012-07-01 22:30:00,100,0.19084,2012-07-01
