Acorn,Acorn_grouped,DateTime,nb_clients,Conso_moy,Date
ACORN-O,Adversity,2012-06-30 22:00:00,64,0.1730625,2012-06-30
ACORN-O,Adversity,2012-06-30 22:30:00,64,0.193453125,2012-06-30
ACORN-O,Adversity,2012-06-30 23:00:00,64,0.151796875,2012-06-30
ACORN-O,Adversity,2012-06-30 23:30:00,64,0.123328125,2012-06-30
ACORN-O,Adversity,2012-07-01 00:00:00,64,0.11784375,2012-07-01
ACORN-O,Adversity,2012-07-01 00:30:00,64,0.1105625,2012-07-01
ACORN-O,Adversity,2012-07-01 01:00:00,64,0.1038125,2012-07-01
ACORN-O,Adversity,2012-07-01 01:30:00,64,0.092046875,2012-07-01
ACORN-O,Adversity,2012-07-01 02:00:00,64,0.096734375,2012-07-01
ACORN-O,Adversity,2012-07-01 02:30:00,64,0.102671875,2012-07-01
ACORN-O,Adversity,2012-07-01 03:00:00,64,0.099796875,2012-07-01
ACORN-O,Adversity,2012-07-01 03:30:00,64,0.09028125,2012-07-01
ACORN-O,Adversity,2012-07-01 04:00:00,64,0.118859375,2012-07-01
ACORN-O,Adversity,2012-07-01 04:30:00,64,0.09259375,2012-07-01
ACORN-O,Adversity,2012-07-01 05:00:00,64,0.088640625,2012-07-01
ACORN-O,Adversity,2012-07-01 05:30:00,64,0.09609375,2012-07-01
ACORN-O,Adversity,2012-07-01 06:00:00,64,0.11121875,2012-07-01
ACORN-O,Adversity,2012-07-01 06:30:00,64,0.120328125,2012-07-01
ACORN-O,Adversity,2012-07-01 07:00:00,64,0.1721875,2012-07-01
ACORN-O,Adversity,2012-07-01 07:30:00,64,0.1793437515625,2012-07-01
ACORN-O,Adversity,2012-07-01 08:00:00,64,0.2051718734375,2012-07-01
ACORN-O,Adversity,2012-07-01 08:30:00,64,0.1836875,2012-07-01
ACORN-O,Adversity,2012-07-01 09:00:00,64,0.205984375,2012-07-01
ACORN-O,Adversity,2012-07-01 09:30:00,64,0.173703125,2012-07-01
ACORN-O,Adversity,2012-07-01 10:00:00,64,0.16671875,2012-07-01
ACORN-O,Adversity,2012-07-01 10:30:00,64,0.17453125,2012-07-01
ACORN-O,Adversity,2012-07-01 11:00:00,64,0.178984375,2012-07-01
ACORN-O,Adversity,2012-07-01 11:30:00,64,0.18684375,2012-07-01
ACORN-O,Adversity,2012-07-01 12:00:00,64,0.1969531265625,2012-07-01
ACORN-O,Adversity,2012-07-01 12:30:00,64,0.19971875,2012-07-01
ACORN-O,Adversity,2012-07-01 13:00:00,64,0.17184375,2012-07-01
ACORN-O,Adversity,2012-07-01 13:30:00,64,0.175703125,2012-07-01
ACORN-O,Adversity,2012-07-01 14:00:00,64,0.154546875,2012-07-01
ACORN-O,Adversity,2012-07-01 14:30:00,64,0.1728437515625,2012-07-01
ACORN-O,Adversity,2012-07-01 15:00:00,64,0.219703125,2012-07-01
ACORN-O,Adversity,2012-07-01 15:30:00,64,0.229140625,2012-07-01
ACORN-O,Adversity,2012-07-01 16:00:00,64,0.21415625,2012-07-01
ACORN-O,Adversity,2012-07-01 16:30:00,64,0.2134375015625,2012-07-01
ACORN-O,Adversity,2012-07-01 17:00:00,64,0.222703125,2012-07-01
ACORN-O,Adversity,2012-07-01 17:30:00,64,0.215984375,2012-07-01
ACORN-O,Adversity,2012-07-01 18:00:00,64,0.211703125,2012-07-01
ACORN-O,Adversity,2012-07-01 18:30:00,64,0.187484375,2012-07-01
ACORN-O,Adversity,2012-07-01 19:00:00,64,0.18959375,2012-07-01
ACORN-O,Adversity,2012-07-01 19:30:00,64,0.175875,2012-07-01
ACORN-O,Adversity,2012-07-01 20:00:00,64,0.20521875,2012-07-01
ACORN-O,Adversity,2012-07-01 20:30:00,64,0.219875,2012-07-01
ACORN-O,Adversity,2012-07-01 21:00:00,64,0.226453125,2012-07-01
ACORN-O,Adversity,2012-07-01 21:30:00,64,0.207859375,2012-07-01
ACORN-O,Adversity,2012-07-01 22:00:00,64,0.181015625,2012-07-01
ACORN-O,Adversity,2012-07-01 22:30:00,64,0.15859375,2012-07-01
ACORN-O,Adversity,2012-07-01 23:00:00,64,0.137609375,2012-07-01
ACORN-O,Adversity,2012-07-01 23:30:00,64,0.114765625,2012-07-01
ACORN-O,Adversity,2012-07-02 00:00:00,64,0.10959375,2012-07-02
ACORN-O,Adversity,2012-07-02 00:30:00,64,0.102078125,2012-07-02
ACORN-O,Adversity,2012-07-02 01:00:00,64,0.09453125,2012-07-02
ACORN-O,Adversity,2012-07-02 01:30:00,64,0.092890625,2012-07-02
ACORN-O,Adversity,2012-07-02 02:00:00,64,0.092234375,2012-07-02
ACORN-O,Adversity,2012-07-02 02:30:00,64,0.089265625,2012-07-02
ACORN-O,Adversity,2012-07-02 03:00:00,64,0.085625,2012-07-02
ACORN-O,Adversity,2012-07-02 03:30:00,64,0.0860625,2012-07-02
ACORN-O,Adversity,2012-07-02 04:00:00,64,0.1070781265625,2012-07-02
ACORN-O,Adversity,2012-07-02 04:30:00,64,0.1104375,2012-07-02
ACORN-O,Adversity,2012-07-02 05:00:00,64,0.096421875,2012-07-02
ACORN-O,Adversity,2012-07-02 05:30:00,64,0.112078125,2012-07-02
ACORN-O,Adversity,2012-07-02 06:00:00,64,0.1255781234375,2012-07-02
ACORN-O,Adversity,2012-07-02 06:30:00,64,0.145609375,2012-07-02
ACORN-O,Adversity,2012-07-02 07:00:00,64,0.148578125,2012-07-02
ACORN-O,Adversity,2012-07-02 07:30:00,64,0.172140625,2012-07-02
ACORN-O,Adversity,2012-07-02 08:00:00,64,0.182171875,2012-07-02
ACORN-O,Adversity,2012-07-02 08:30:00,64,0.192453125,2012-07-02
ACORN-O,Adversity,2012-07-02 09:00:00,65,0.196538461538462,2012-07-02
ACORN-O,Adversity,2012-07-02 09:30:00,65,0.154953846153846,2012-07-02
ACORN-O,Adversity,2012-07-02 10:00:00,65,0.166384615384615,2012-07-02
ACORN-O,Adversity,2012-07-02 10:30:00,65,0.149138461538462,2012-07-02
ACORN-O,Adversity,2012-07-02 11:00:00,66,0.173484848484848,2012-07-02
ACORN-O,Adversity,2012-07-02 11:30:00,66,0.199681818181818,2012-07-02
ACORN-O,Adversity,2012-07-02 12:00:00,66,0.144712121212121,2012-07-02
ACORN-O,Adversity,2012-07-02 12:30:00,66,0.179121212121212,2012-07-02
ACORN-O,Adversity,2012-07-02 13:00:00,66,0.202333331818182,2012-07-02
ACORN-O,Adversity,2012-07-02 13:30:00,66,0.19669696969697,2012-07-02
ACORN-O,Adversity,2012-07-02 14:00:00,66,0.173257575757576,2012-07-02
ACORN-O,Adversity,2012-07-02 14:30:00,66,0.189939393939394,2012-07-02
ACORN-O,Adversity,2012-07-02 15:00:00,66,0.174045454545455,2012-07-02
ACORN-O,Adversity,2012-07-02 15:30:00,66,0.208924242424242,2012-07-02
ACORN-O,Adversity,2012-07-02 16:00:00,66,0.202363636363636,2012-07-02
ACORN-O,Adversity,2012-07-02 16:30:00,66,0.230909089393939,2012-07-02
ACORN-O,Adversity,2012-07-02 17:00:00,66,0.259363636363636,2012-07-02
ACORN-O,Adversity,2012-07-02 17:30:00,66,0.253545454545455,2012-07-02
ACORN-O,Adversity,2012-07-02 18:00:00,66,0.249863637878788,2012-07-02
ACORN-O,Adversity,2012-07-02 18:30:00,66,0.194151515151515,2012-07-02
ACORN-O,Adversity,2012-07-02 19:00:00,66,0.207924242424242,2012-07-02
ACORN-O,Adversity,2012-07-02 19:30:00,66,0.190272727272727,2012-07-02
ACORN-O,Adversity,2012-07-02 20:00:00,66,0.219681818181818,2012-07-02
ACORN-O,Adversity,2012-07-02 20:30:00,66,0.215030303030303,2012-07-02
ACORN-O,Adversity,2012-07-02 21:00:00,66,0.216924242424242,2012-07-02
ACORN-O,Adversity,2012-07-02 21:30:00,66,0.206378789393939,2012-07-02
ACORN-O,Adversity,2012-07-02 22:00:00,66,0.162636363636364,2012-07-02
ACORN-O,Adversity,2012-07-02 22:30:00,66,0.134833333333333,2012-07-02
ACORN-O,Adversity,2012-07-02 23:00:00,66,0.129075757575758,2012-07-02
ACORN-O,Adversity,2012-07-02 23:30:00,66,0.107560606060606,2012-07-02
ACORN-O,Adversity,2012-07-03 00:00:00,66,0.0991212121212121,2012-07-03
ACORN-O,Adversity,2012-07-03 00:30:00,65,0.0973538461538462,2012-07-03
ACORN-O,Adversity,2012-07-03 01:00:00,65,0.0919076923076923,2012-07-03
ACORN-O,Adversity,2012-07-03 01:30:00,65,0.0926615384615385,2012-07-03
ACORN-O,Adversity,2012-07-03 02:00:00,65,0.0902,2012-07-03
ACORN-O,Adversity,2012-07-03 02:30:00,65,0.0816307692307692,2012-07-03
ACORN-O,Adversity,2012-07-03 03:00:00,65,0.0919692307692308,2012-07-03
ACORN-O,Adversity,2012-07-03 03:30:00,65,0.107538461538462,2012-07-03
ACORN-O,Adversity,2012-07-03 04:00:00,65,0.121584615384615,2012-07-03
ACORN-O,Adversity,2012-07-03 04:30:00,65,0.0980153846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 05:00:00,65,0.0912153846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 05:30:00,65,0.125046153846154,2012-07-03
ACORN-O,Adversity,2012-07-03 06:00:00,65,0.137061538461538,2012-07-03
ACORN-O,Adversity,2012-07-03 06:30:00,65,0.1664,2012-07-03
ACORN-O,Adversity,2012-07-03 07:00:00,65,0.127415384615385,2012-07-03
ACORN-O,Adversity,2012-07-03 07:30:00,65,0.185753846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 08:00:00,65,0.181615384615385,2012-07-03
ACORN-O,Adversity,2012-07-03 08:30:00,65,0.175184615384615,2012-07-03
ACORN-O,Adversity,2012-07-03 09:00:00,65,0.1728,2012-07-03
ACORN-O,Adversity,2012-07-03 09:30:00,65,0.172138461538462,2012-07-03
ACORN-O,Adversity,2012-07-03 10:00:00,65,0.149092307692308,2012-07-03
ACORN-O,Adversity,2012-07-03 10:30:00,65,0.142846153846154,2012-07-03
ACORN-O,Adversity,2012-07-03 11:00:00,65,0.145153846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 11:30:00,65,0.159492307692308,2012-07-03
ACORN-O,Adversity,2012-07-03 12:00:00,65,0.165784615384615,2012-07-03
ACORN-O,Adversity,2012-07-03 12:30:00,65,0.151876923076923,2012-07-03
ACORN-O,Adversity,2012-07-03 13:00:00,65,0.156676923076923,2012-07-03
ACORN-O,Adversity,2012-07-03 13:30:00,65,0.146046153846154,2012-07-03
ACORN-O,Adversity,2012-07-03 14:00:00,65,0.166415384615385,2012-07-03
ACORN-O,Adversity,2012-07-03 14:30:00,65,0.161861538461538,2012-07-03
ACORN-O,Adversity,2012-07-03 15:00:00,65,0.178153844615385,2012-07-03
ACORN-O,Adversity,2012-07-03 15:30:00,65,0.226461538461538,2012-07-03
ACORN-O,Adversity,2012-07-03 16:00:00,65,0.218538461538462,2012-07-03
ACORN-O,Adversity,2012-07-03 16:30:00,65,0.240353846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 17:00:00,65,0.246953846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 17:30:00,65,0.242538463076923,2012-07-03
ACORN-O,Adversity,2012-07-03 18:00:00,65,0.225630769230769,2012-07-03
ACORN-O,Adversity,2012-07-03 18:30:00,65,0.217615383076923,2012-07-03
ACORN-O,Adversity,2012-07-03 19:00:00,65,0.203830769230769,2012-07-03
ACORN-O,Adversity,2012-07-03 19:30:00,65,0.223969230769231,2012-07-03
ACORN-O,Adversity,2012-07-03 20:00:00,65,0.215153846153846,2012-07-03
ACORN-O,Adversity,2012-07-03 20:30:00,65,0.227107693846154,2012-07-03
ACORN-O,Adversity,2012-07-03 21:00:00,65,0.230969230769231,2012-07-03
ACORN-O,Adversity,2012-07-03 21:30:00,65,0.231061536923077,2012-07-03
ACORN-O,Adversity,2012-07-03 22:00:00,65,0.193876923076923,2012-07-03
ACORN-O,Adversity,2012-07-03 22:30:00,65,0.1964,2012-07-03
ACORN-O,Adversity,2012-07-03 23:00:00,65,0.145107692307692,2012-07-03
ACORN-O,Adversity,2012-07-03 23:30:00,65,0.108876923076923,2012-07-03
ACORN-O,Adversity,2012-07-04 00:00:00,65,0.104046153846154,2012-07-04
ACORN-O,Adversity,2012-07-04 00:30:00,65,0.106815384615385,2012-07-04
ACORN-O,Adversity,2012-07-04 01:00:00,65,0.0991384615384615,2012-07-04
ACORN-O,Adversity,2012-07-04 01:30:00,65,0.0948923076923077,2012-07-04
ACORN-O,Adversity,2012-07-04 02:00:00,65,0.0894923076923077,2012-07-04
ACORN-O,Adversity,2012-07-04 02:30:00,65,0.0853538461538462,2012-07-04
ACORN-O,Adversity,2012-07-04 03:00:00,65,0.0860153846153846,2012-07-04
ACORN-O,Adversity,2012-07-04 03:30:00,65,0.0917076923076923,2012-07-04
ACORN-O,Adversity,2012-07-04 04:00:00,65,0.118,2012-07-04
ACORN-O,Adversity,2012-07-04 04:30:00,65,0.104953846153846,2012-07-04
ACORN-O,Adversity,2012-07-04 05:00:00,65,0.103984615384615,2012-07-04
ACORN-O,Adversity,2012-07-04 05:30:00,65,0.0985384615384615,2012-07-04
ACORN-O,Adversity,2012-07-04 06:00:00,65,0.142276923076923,2012-07-04
ACORN-O,Adversity,2012-07-04 06:30:00,65,0.151353846153846,2012-07-04
