Acorn,Acorn_grouped,DateTime,nb_clients,Conso_moy,Date
ACORN-P,Adversity,2012-06-30 22:00:00,86,0.101325581395349,2012-06-30
ACORN-P,Adversity,2012-06-30 22:30:00,86,0.0949069767441861,2012-06-30
ACORN-P,Adversity,2012-06-30 23:00:00,86,0.104337209302326,2012-06-30
ACORN-P,Adversity,2012-06-30 23:30:00,86,0.0918488372093023,2012-06-30
ACORN-P,Adversity,2012-07-01 00:00:00,86,0.0701511627906977,2012-07-01
ACORN-P,Adversity,2012-07-01 00:30:00,88,0.301329546590909,2012-07-01
ACORN-P,Adversity,2012-07-01 01:00:00,88,0.243965909090909,2012-07-01
ACORN-P,Adversity,2012-07-01 01:30:00,88,0.169352270454545,2012-07-01
ACORN-P,Adversity,2012-07-01 02:00:00,88,0.129772727272727,2012-07-01
ACORN-P,Adversity,2012-07-01 02:30:00,88,0.102227271590909,2012-07-01
ACORN-P,Adversity,2012-07-01 03:00:00,88,0.117011363636364,2012-07-01
ACORN-P,Adversity,2012-07-01 03:30:00,88,0.0819545454545455,2012-07-01
ACORN-P,Adversity,2012-07-01 04:00:00,88,0.0807954545454545,2012-07-01
ACORN-P,Adversity,2012-07-01 04:30:00,88,0.0750795454545455,2012-07-01
ACORN-P,Adversity,2012-07-01 05:00:00,88,0.0573522727272727,2012-07-01
ACORN-P,Adversity,2012-07-01 05:30:00,88,0.0788522727272727,2012-07-01
ACORN-P,Adversity,2012-07-01 06:00:00,88,0.0725227272727273,2012-07-01
ACORN-P,Adversity,2012-07-01 06:30:00,88,0.0911704545454545,2012-07-01
ACORN-P,Adversity,2012-07-01 07:00:00,88,0.0965340909090909,2012-07-01
ACORN-P,Adversity,2012-07-01 07:30:00,88,0.0793863636363636,2012-07-01
ACORN-P,Adversity,2012-07-01 08:00:00,88,0.109454545454545,2012-07-01
ACORN-P,Adversity,2012-07-01 08:30:00,88,0.120431818181818,2012-07-01
ACORN-P,Adversity,2012-07-01 09:00:00,88,0.111886363636364,2012-07-01
ACORN-P,Adversity,2012-07-01 09:30:00,88,0.115,2012-07-01
ACORN-P,Adversity,2012-07-01 10:00:00,88,0.105806818181818,2012-07-01
ACORN-P,Adversity,2012-07-01 10:30:00,88,0.0944431818181818,2012-07-01
ACORN-P,Adversity,2012-07-01 11:00:00,88,0.125386363636364,2012-07-01
ACORN-P,Adversity,2012-07-01 11:30:00,88,0.134556818181818,2012-07-01
ACORN-P,Adversity,2012-07-01 12:00:00,88,0.146954546590909,2012-07-01
ACORN-P,Adversity,2012-07-01 12:30:00,88,0.134511363636364,2012-07-01
ACORN-P,Adversity,2012-07-01 13:00:00,88,0.123852272727273,2012-07-01
ACORN-P,Adversity,2012-07-01 13:30:00,88,0.130568181818182,2012-07-01
ACORN-P,Adversity,2012-07-01 14:00:00,88,0.134727272727273,2012-07-01
ACORN-P,Adversity,2012-07-01 14:30:00,88,0.114090909090909,2012-07-01
ACORN-P,Adversity,2012-07-01 15:00:00,88,0.105704545454545,2012-07-01
ACORN-P,Adversity,2012-07-01 15:30:00,88,0.118215909090909,2012-07-01
ACORN-P,Adversity,2012-07-01 16:00:00,88,0.146636363636364,2012-07-01
ACORN-P,Adversity,2012-07-01 16:30:00,88,0.1286363625,2012-07-01
ACORN-P,Adversity,2012-07-01 17:00:00,88,0.126761363636364,2012-07-01
ACORN-P,Adversity,2012-07-01 17:30:00,88,0.132340909090909,2012-07-01
ACORN-P,Adversity,2012-07-01 18:00:00,88,0.142238636363636,2012-07-01
ACORN-P,Adversity,2012-07-01 18:30:00,88,0.146704545454545,2012-07-01
ACORN-P,Adversity,2012-07-01 19:00:00,88,0.149829545454545,2012-07-01
